"Avalanch","Pinecones on Mars","The winner is Pinecones on Mars"
"2","997","1"
"rock","5961807","paper","8891229","Pinecones on Mars won"
"rock","4508889","paper","12739582","Pinecones on Mars won"
"rock","5835546","paper","8797116","Pinecones on Mars won"
"rock","6902169","paper","9752405","Pinecones on Mars won"
"rock","6042988","paper","13167179","Pinecones on Mars won"
"rock","6967075","paper","10064420","Pinecones on Mars won"
"rock","5866381","paper","8839550","Pinecones on Mars won"
"rock","6071497","paper","8964120","Pinecones on Mars won"
"rock","9358033","paper","9400094","Pinecones on Mars won"
"rock","5917752","paper","8949100","Pinecones on Mars won"
"rock","6095162","paper","9248167","Pinecones on Mars won"
"rock","5843412","paper","8893008","Pinecones on Mars won"
"rock","6433349","paper","9482187","Pinecones on Mars won"
"rock","5834907","paper","9023391","Pinecones on Mars won"
"rock","6414404","paper","9527912","Pinecones on Mars won"
"rock","5898295","paper","9010583","Pinecones on Mars won"
"rock","5876161","paper","8673130","Pinecones on Mars won"
"rock","6271001","paper","9407163","Pinecones on Mars won"
"rock","9131604","paper","9167847","Pinecones on Mars won"
"rock","9409566","paper","9444323","Pinecones on Mars won"
"rock","7757516","paper","14181805","Pinecones on Mars won"
"rock","4948746","paper","8500313","Pinecones on Mars won"
"rock","9059020","paper","8814878","Pinecones on Mars won"
"rock","9211265","paper","8973649","Pinecones on Mars won"
"rock","7624890","paper","9804279","Pinecones on Mars won"
"rock","5968085","paper","11176652","Pinecones on Mars won"
"rock","4215595","paper","7623289","Pinecones on Mars won"
"rock","9112513","paper","8868584","Pinecones on Mars won"
"rock","8970025","paper","8729993","Pinecones on Mars won"
"rock","7307263","paper","12122621","Pinecones on Mars won"
"rock","7559003","paper","13269724","Pinecones on Mars won"
"rock","8703430","paper","15835914","Pinecones on Mars won"
"rock","5870224","paper","9231182","Pinecones on Mars won"
"rock","7627469","paper","9333770","Pinecones on Mars won"
"rock","6390456","paper","9786226","Pinecones on Mars won"
"rock","5677169","paper","8965984","Pinecones on Mars won"
"rock","10404033","paper","13863911","Pinecones on Mars won"
"rock","9687223","paper","13269254","Pinecones on Mars won"
"rock","10123670","paper","17668661","Pinecones on Mars won"
"rock","4928463","paper","8517121","Pinecones on Mars won"
"rock","9332880","paper","9084084","Pinecones on Mars won"
"rock","9393950","paper","9151977","Pinecones on Mars won"
"rock","8075843","paper","8027290","Pinecones on Mars won"
"rock","8077366","paper","11275477","Pinecones on Mars won"
"rock","4625919","paper","8151625","Pinecones on Mars won"
"rock","10334442","paper","10087617","Pinecones on Mars won"
"rock","9316134","paper","9071077","Pinecones on Mars won"
"rock","9377616","paper","9137290","Pinecones on Mars won"
"rock","6051933","paper","11660194","Pinecones on Mars won"
"rock","7381014","paper","11030743","Pinecones on Mars won"
