"BeatLast","HaiCat","The winner is BeatLast"
"999","1","0"
"paper","4553889","rock","4969424","BeatLast won"
"paper","4619646","rock","5061602","BeatLast won"
"paper","5207785","rock","5259831","BeatLast won"
"paper","4535632","rock","4979981","BeatLast won"
"paper","3737745","rock","4181827","BeatLast won"
"paper","5325835","rock","5748305","BeatLast won"
"paper","4630809","rock","5073140","BeatLast won"
"paper","7818580","rock","8079338","BeatLast won"
"paper","8636002","rock","7479206","BeatLast won"
"paper","4401175","rock","4854456","BeatLast won"
"paper","3737970","rock","4190476","BeatLast won"
"paper","4492545","rock","4907454","BeatLast won"
"paper","4622725","rock","5068728","BeatLast won"
"paper","4583983","rock","5027902","BeatLast won"
"paper","9178561","rock","9229408","BeatLast won"
"paper","4565537","rock","5058648","BeatLast won"
"paper","4557974","rock","4983280","BeatLast won"
"paper","4581848","rock","5020048","BeatLast won"
"paper","4572023","rock","4987279","BeatLast won"
"paper","4612524","rock","5033597","BeatLast won"
"paper","8941863","rock","8675433","BeatLast won"
"paper","4560696","rock","4976499","BeatLast won"
"paper","4596958","rock","5079384","BeatLast won"
"paper","4497581","rock","4907108","BeatLast won"
"paper","4627275","rock","5038732","BeatLast won"
"paper","4619580","rock","5038122","BeatLast won"
"paper","4680170","rock","5152129","BeatLast won"
"paper","5069345","rock","5120513","BeatLast won"
"paper","4423839","rock","4850053","BeatLast won"
"paper","4759804","rock","5172104","BeatLast won"
"paper","4614159","rock","5029087","BeatLast won"
"paper","5205255","rock","5255756","BeatLast won"
"paper","4571207","rock","5289593","BeatLast won"
"paper","4238591","rock","4678763","BeatLast won"
"paper","3624400","rock","4072739","BeatLast won"
"paper","5466232","rock","5912291","BeatLast won"
"paper","4565983","rock","5010208","BeatLast won"
"paper","12721955","rock","13001773","BeatLast won"
"paper","5753136","rock","6202030","BeatLast won"
"paper","5920204","rock","7927279","BeatLast won"
"paper","5452258","rock","5873643","BeatLast won"
"paper","4579163","rock","5118425","BeatLast won"
"paper","4494481","rock","4908379","BeatLast won"
"paper","3022453","rock","9159188","BeatLast won"
"paper","5914852","rock","5547606","BeatLast won"
"paper","4550396","rock","4980847","BeatLast won"
"paper","5120635","rock","5164191","BeatLast won"
"paper","5191648","rock","5234827","BeatLast won"
"paper","4711163","rock","4753918","BeatLast won"
"paper","5699139","rock","5764522","BeatLast won"
"paper","5184808","rock","5226615","BeatLast won"
"paper","4686747","rock","5085752","BeatLast won"
"paper","4595537","rock","4994369","BeatLast won"
"paper","5222305","rock","5183757","BeatLast won"
"paper","4848003","rock","4599644","BeatLast won"
"paper","7693440","rock","7734675","BeatLast won"
"paper","4590047","rock","4993067","BeatLast won"
"paper","4667594","rock","5063722","BeatLast won"
"paper","4583128","rock","4623741","BeatLast won"
"paper","4647159","rock","5037970","BeatLast won"
"paper","4922194","rock","4686653","BeatLast won"
"paper","3176291","rock","8889817","BeatLast won"
"paper","4891482","rock","5286054","BeatLast won"
"paper","4697602","rock","5102672","BeatLast won"
"paper","4891869","rock","4657442","BeatLast won"
"paper","4742343","rock","5138589","BeatLast won"
"paper","11402320","rock","11149052","BeatLast won"
"paper","9912914","rock","10339668","BeatLast won"
"paper","4111354","rock","4539254","BeatLast won"
"paper","5527647","rock","5571293","BeatLast won"
"paper","4612136","rock","5155148","BeatLast won"
"paper","4627385","rock","4886246","BeatLast won"
"paper","4151624","rock","4576244","BeatLast won"
"paper","4949649","rock","5375433","BeatLast won"
"paper","4638164","rock","5108161","BeatLast won"
"paper","6354867","rock","6788243","BeatLast won"
"paper","7445687","rock","7488051","BeatLast won"
"paper","4643255","rock","5067256","BeatLast won"
"paper","4631239","rock","4370271","BeatLast won"
"paper","4758236","rock","5159700","BeatLast won"
"paper","4882916","rock","4653614","BeatLast won"
"paper","3337330","rock","3739163","BeatLast won"
"paper","5178266","rock","5577037","BeatLast won"
"paper","4634471","rock","5036342","BeatLast won"
"paper","4932208","rock","4679043","BeatLast won"
"paper","4634807","rock","5033077","BeatLast won"
"paper","4895414","rock","4663116","BeatLast won"
"paper","4765859","rock","5167062","BeatLast won"
"paper","4923091","rock","4672857","BeatLast won"
"paper","7792504","rock","6232415","BeatLast won"
"paper","5668214","rock","6078446","BeatLast won"
"paper","4582888","rock","4984122","BeatLast won"
"paper","5214835","rock","5253802","BeatLast won"
"paper","4938905","rock","4684564","BeatLast won"
"paper","4941636","rock","4688179","BeatLast won"
"paper","5080127","rock","4813519","BeatLast won"
"paper","10405583","rock","10149407","BeatLast won"
"paper","5783972","rock","6217821","BeatLast won"
"paper","4613565","rock","5009466","BeatLast won"
"paper","4598168","rock","5001107","BeatLast won"
"paper","4733817","rock","5127941","BeatLast won"
"paper","4913095","rock","4676633","BeatLast won"
"paper","4747568","rock","5151945","BeatLast won"
"paper","4650208","rock","5053328","BeatLast won"
"paper","4665198","rock","5068334","BeatLast won"
"paper","5235696","rock","5275860","BeatLast won"
"paper","5225626","rock","5184272","BeatLast won"
"paper","5289769","rock","5247707","BeatLast won"
"paper","4904612","rock","4993868","BeatLast won"
"paper","5241690","rock","5282449","BeatLast won"
"paper","4648101","rock","5055741","BeatLast won"
"paper","4637514","rock","5039301","BeatLast won"
"paper","4957688","rock","4696103","BeatLast won"
"paper","4708402","rock","5113669","BeatLast won"
"paper","5267243","rock","4982917","BeatLast won"
"paper","4378723","rock","4796843","BeatLast won"
"paper","5241942","rock","5284321","BeatLast won"
"paper","4581351","rock","4982767","BeatLast won"
"paper","3787822","rock","3557069","BeatLast won"
"paper","6226244","rock","6267433","BeatLast won"
"paper","5189041","rock","5231016","BeatLast won"
"paper","2938439","rock","5242882","BeatLast won"
"paper","4240602","rock","4635751","BeatLast won"
"paper","4687491","rock","5088287","BeatLast won"
"paper","4875265","rock","4646740","BeatLast won"
"paper","4912977","rock","4683044","BeatLast won"
"paper","5305737","rock","5346381","BeatLast won"
"paper","5006476","rock","4750860","BeatLast won"
"paper","3664380","rock","4062892","BeatLast won"
"paper","4687439","rock","5098610","BeatLast won"
"paper","4641653","rock","4684588","BeatLast won"
"paper","5207539","rock","5605875","BeatLast won"
"paper","4892811","rock","4664676","BeatLast won"
"paper","4871751","rock","5283609","BeatLast won"
"paper","4432313","rock","4833058","BeatLast won"
"paper","4871733","rock","4640286","BeatLast won"
"paper","4992347","rock","4762216","BeatLast won"
"paper","4781200","rock","5213201","BeatLast won"
"paper","4615539","rock","5015753","BeatLast won"
"paper","7783773","rock","6224178","BeatLast won"
"paper","6104881","rock","6146281","BeatLast won"
"paper","5718258","rock","5465450","BeatLast won"
"paper","3669437","rock","4069293","BeatLast won"
"paper","4700290","rock","5124948","BeatLast won"
"paper","4637575","rock","5037518","BeatLast won"
"paper","4908531","rock","4672396","BeatLast won"
"paper","4971780","rock","4735729","BeatLast won"
"paper","4740302","rock","5139996","BeatLast won"
"paper","4900871","rock","4665891","BeatLast won"
"paper","4537473","rock","5064704","BeatLast won"
"paper","4686095","rock","5081759","BeatLast won"
"paper","4791230","rock","4559018","BeatLast won"
"paper","4072317","rock","4528360","BeatLast won"
"paper","5652505","rock","5692807","BeatLast won"
"paper","4870093","rock","4636757","BeatLast won"
"paper","4772608","rock","5173359","BeatLast won"
"paper","4621188","rock","5012104","BeatLast won"
"paper","4906496","rock","4675900","BeatLast won"
"paper","7353544","rock","7603900","BeatLast won"
"paper","5851830","rock","6246643","BeatLast won"
"paper","4891212","rock","4659939","BeatLast won"
"paper","4993700","rock","4758951","BeatLast won"
"paper","4723170","rock","5117660","BeatLast won"
"paper","4916674","rock","4680378","BeatLast won"
"paper","3189576","rock","5614373","BeatLast won"
"paper","4150702","rock","4553319","BeatLast won"
"paper","4657725","rock","5057104","BeatLast won"
"paper","4918556","rock","4670701","BeatLast won"
"paper","4676087","rock","8678021","BeatLast won"
"paper","4465947","rock","4232275","BeatLast won"
"paper","3932988","rock","4370783","BeatLast won"
"paper","6744895","rock","6784663","BeatLast won"
"paper","4721140","rock","5118225","BeatLast won"
"paper","4695662","rock","5244661","BeatLast won"
"paper","4561680","rock","4972245","BeatLast won"
"paper","4544891","rock","4942497","BeatLast won"
"paper","4532753","rock","4958970","BeatLast won"
"paper","8530448","rock","9025511","BeatLast won"
"paper","4819749","rock","5214474","BeatLast won"
"paper","4887138","rock","4654626","BeatLast won"
"paper","4614845","rock","5000649","BeatLast won"
"paper","4607498","rock","4988121","BeatLast won"
"paper","4795507","rock","5196070","BeatLast won"
"paper","5328092","rock","5282597","BeatLast won"
"paper","4627179","rock","5014986","BeatLast won"
"paper","5283064","rock","5323739","BeatLast won"
"paper","4707191","rock","5095363","BeatLast won"
"paper","4704124","rock","5086793","BeatLast won"
"paper","9002657","rock","9246702","BeatLast won"
"paper","5070759","rock","7048390","BeatLast won"
"paper","5359761","rock","5791152","BeatLast won"
"paper","3211668","rock","3600390","BeatLast won"
"paper","6364104","rock","6750203","BeatLast won"
"paper","4611109","rock","4845864","BeatLast won"
"paper","4913361","rock","4681103","BeatLast won"
"paper","4712513","rock","5107867","BeatLast won"
"paper","4727069","rock","5154056","BeatLast won"
"paper","4892612","rock","4660283","BeatLast won"
"paper","5313380","rock","5354253","BeatLast won"
"paper","4721807","rock","5110084","BeatLast won"
"paper","4472020","rock","4200765","BeatLast won"
"paper","5180436","rock","5570690","BeatLast won"
"paper","4736980","rock","5126935","BeatLast won"
"paper","4712264","rock","5101856","BeatLast won"
"paper","4730076","rock","5112818","BeatLast won"
"paper","4708129","rock","5095698","BeatLast won"
"paper","4717270","rock","5101339","BeatLast won"
"paper","4426892","rock","4816663","BeatLast won"
"paper","4891643","rock","4662511","BeatLast won"
"paper","4786316","rock","5185576","BeatLast won"
"paper","4729164","rock","5123502","BeatLast won"
"paper","4727866","rock","5123198","BeatLast won"
"paper","4951275","rock","4718691","BeatLast won"
"paper","4351906","rock","4782454","BeatLast won"
"paper","10657575","rock","11081525","BeatLast won"
"paper","3085575","rock","7044216","BeatLast won"
"paper","5144550","rock","5531146","BeatLast won"
"paper","4731475","rock","5123928","BeatLast won"
"paper","10774711","rock","10335594","BeatLast won"
"paper","6317257","rock","6702815","BeatLast won"
"paper","4760202","rock","5152308","BeatLast won"
"paper","4646608","rock","5045216","BeatLast won"
