"HaiCat","Poop","The winner is Poop"
"0","999","1"
"rock","8325303","paper","8853895","Poop won"
"rock","11291590","paper","11808819","Poop won"
"rock","8945904","paper","9425936","Poop won"
"rock","16593300","paper","17111391","Poop won"
"rock","12053277","paper","12542265","Poop won"
"rock","9060030","paper","9073128","Poop won"
"rock","8170625","paper","8675134","Poop won"
"rock","8244120","paper","8739313","Poop won"
"rock","5598502","paper","6079300","Poop won"
"rock","8446850","paper","8929657","Poop won"
"rock","14871697","paper","15503721","Poop won"
"rock","11167082","paper","11662328","Poop won"
"rock","10304393","paper","10894138","Poop won"
"rock","8671127","paper","9164012","Poop won"
"rock","8034144","paper","9691578","Poop won"
"rock","6895781","paper","7378345","Poop won"
"rock","7749141","paper","8229230","Poop won"
"rock","8834579","paper","9344314","Poop won"
"rock","11866303","paper","16122396","Poop won"
"rock","8915118","paper","9472938","Poop won"
"rock","8389496","paper","8902469","Poop won"
"rock","12127863","paper","12713515","Poop won"
"rock","8218013","paper","8677923","Poop won"
"rock","12608467","paper","12621510","Poop won"
"rock","8904975","paper","9395008","Poop won"
"rock","8237300","paper","8696931","Poop won"
"rock","9403423","paper","9416194","Poop won"
"rock","8345025","paper","8872442","Poop won"
"rock","8075298","paper","8568262","Poop won"
"rock","12190267","paper","12651474","Poop won"
"rock","9622095","paper","10146508","Poop won"
"rock","9131427","paper","9596666","Poop won"
"rock","10584265","paper","11053352","Poop won"
"rock","7861553","paper","8380876","Poop won"
"rock","9088166","paper","9615016","Poop won"
"rock","12122692","paper","12610111","Poop won"
"rock","9555110","paper","10044652","Poop won"
"rock","8255299","paper","8767205","Poop won"
"rock","8140160","paper","8626488","Poop won"
"rock","8338153","paper","8827192","Poop won"
"rock","8495419","paper","10717576","Poop won"
"rock","15589448","paper","16145211","Poop won"
"rock","8497263","paper","8965401","Poop won"
"rock","9281468","paper","9792516","Poop won"
"rock","18654492","paper","18729643","Poop won"
"rock","9887822","paper","11872870","Poop won"
"rock","9716951","paper","10197468","Poop won"
"rock","8633124","paper","9151344","Poop won"
"rock","7948597","paper","8424159","Poop won"
"rock","8938737","paper","9408134","Poop won"
"rock","9186275","paper","9196474","Poop won"
"rock","8327563","paper","8829758","Poop won"
"rock","8393420","paper","8852882","Poop won"
"rock","8285067","paper","8730152","Poop won"
"rock","8634572","paper","9154856","Poop won"
"rock","13545716","paper","14097270","Poop won"
"rock","9101015","paper","9553151","Poop won"
"rock","11654813","paper","12265352","Poop won"
"rock","8249169","paper","8703303","Poop won"
"rock","9769247","paper","10230540","Poop won"
"rock","9122678","paper","9133550","Poop won"
"rock","12160294","paper","12170561","Poop won"
"rock","10006714","paper","10056670","Poop won"
"rock","11672051","paper","12123753","Poop won"
"rock","11657424","paper","12114886","Poop won"
"rock","9545255","paper","10011825","Poop won"
"rock","9718222","paper","10186951","Poop won"
"rock","14178025","paper","14673402","Poop won"
"rock","8544229","paper","8989935","Poop won"
"rock","16502868","paper","17014242","Poop won"
"rock","11680755","paper","12188803","Poop won"
"rock","8712711","paper","9184382","Poop won"
"rock","8405530","paper","8911905","Poop won"
"rock","11380375","paper","11856973","Poop won"
"rock","9737690","paper","10199409","Poop won"
"rock","8504636","paper","9011758","Poop won"
"rock","15443859","paper","15949944","Poop won"
"rock","8920715","paper","9374614","Poop won"
"rock","8189608","paper","8773966","Poop won"
"rock","8803657","paper","9314654","Poop won"
"rock","11786939","paper","12267526","Poop won"
"rock","9444344","paper","9972215","Poop won"
"rock","8550579","paper","9069253","Poop won"
"rock","8042104","paper","8495381","Poop won"
"rock","6935076","paper","9985657","Poop won"
"rock","10333187","paper","10830349","Poop won"
"rock","9655712","paper","12095631","Poop won"
"rock","9334231","paper","9894351","Poop won"
"rock","11668309","paper","12159894","Poop won"
"rock","11395799","paper","11909668","Poop won"
"rock","9108828","paper","10994763","Poop won"
"rock","16322704","paper","16867880","Poop won"
"rock","13155205","paper","13609844","Poop won"
"rock","8402646","paper","8849399","Poop won"
"rock","8294874","paper","8799497","Poop won"
"rock","8329730","paper","8816601","Poop won"
"rock","8193775","paper","8663061","Poop won"
"rock","12320574","paper","12771977","Poop won"
"rock","10936583","paper","11413287","Poop won"
"rock","14318873","paper","14779464","Poop won"
"rock","8377277","paper","8931874","Poop won"
"rock","8640996","paper","8652309","Poop won"
"rock","11154164","paper","11619254","Poop won"
"rock","9866737","paper","10316669","Poop won"
"rock","10370156","paper","10819837","Poop won"
"rock","14699804","paper","15158939","Poop won"
"rock","9219736","paper","9667561","Poop won"
"rock","9659364","paper","10175402","Poop won"
"rock","10523527","paper","10972412","Poop won"
"rock","10226125","paper","10275275","Poop won"
"rock","8150437","paper","8722757","Poop won"
"rock","11599426","paper","12090486","Poop won"
"rock","8732818","paper","9190459","Poop won"
"rock","13536744","paper","13546926","Poop won"
"rock","10573280","paper","11037038","Poop won"
"rock","9823442","paper","10286737","Poop won"
"rock","11749392","paper","12212649","Poop won"
"rock","9116310","paper","11469821","Poop won"
"rock","10523819","paper","10985603","Poop won"
"rock","9158881","paper","9604741","Poop won"
"rock","14224385","paper","14675949","Poop won"
"rock","10952222","paper","11001877","Poop won"
"rock","12248599","paper","12749125","Poop won"
"rock","6800174","paper","7263263","Poop won"
"rock","9692435","paper","10140794","Poop won"
"rock","8214582","paper","8671164","Poop won"
"rock","10330803","paper","10341175","Poop won"
"rock","11810814","paper","12268957","Poop won"
"rock","9465661","paper","9911484","Poop won"
"rock","8509726","paper","8999352","Poop won"
"rock","13176449","paper","13633870","Poop won"
"rock","15210971","paper","15273859","Poop won"
"rock","8543946","paper","9059602","Poop won"
"rock","9664278","paper","10124755","Poop won"
"rock","7586960","paper","8065216","Poop won"
"rock","8710339","paper","9208114","Poop won"
"rock","11614262","paper","11604176","Poop won"
"rock","9687746","paper","10139360","Poop won"
"rock","15482285","paper","15573700","Poop won"
"rock","16884847","paper","16949802","Poop won"
"rock","7626332","paper","9497951","Poop won"
"rock","11618584","paper","12161874","Poop won"
"rock","10420558","paper","10479299","Poop won"
"rock","7394013","paper","7943739","Poop won"
"rock","13718450","paper","14176694","Poop won"
"rock","11763595","paper","12206955","Poop won"
"rock","9724659","paper","10239892","Poop won"
"rock","10169872","paper","10219722","Poop won"
"rock","8221901","paper","8232542","Poop won"
"rock","9029407","paper","9534019","Poop won"
"rock","15397923","paper","15855230","Poop won"
"rock","10300942","paper","10349485","Poop won"
"rock","8453444","paper","8959290","Poop won"
"rock","13021720","paper","13481470","Poop won"
"rock","11453068","paper","11902245","Poop won"
"rock","10114700","paper","10680256","Poop won"
"rock","12042946","paper","12491746","Poop won"
"rock","10192302","paper","10243713","Poop won"
"rock","9375296","paper","9385505","Poop won"
"rock","8138204","paper","8588165","Poop won"
"rock","8722803","paper","8771002","Poop won"
"rock","9401156","paper","9878943","Poop won"
"rock","11471523","paper","11955686","Poop won"
"rock","13024306","paper","13035320","Poop won"
"rock","11360198","paper","11812407","Poop won"
"rock","10454358","paper","10930672","Poop won"
"rock","5630405","paper","6096981","Poop won"
"rock","11116629","paper","11563762","Poop won"
"rock","8609505","paper","9132667","Poop won"
"rock","12757853","paper","12768386","Poop won"
"rock","11029520","paper","11508759","Poop won"
"rock","9755323","paper","11606902","Poop won"
"rock","15573213","paper","15584155","Poop won"
"rock","7658193","paper","8101219","Poop won"
"rock","11425961","paper","11896904","Poop won"
"rock","13244592","paper","13704419","Poop won"
"rock","7329497","paper","7774344","Poop won"
