"Avalanch","hummingbird","Clients TIE!"
"0","1","999"
"rock","6109248","rock","635091","Tie"
"rock","5044830","rock","622100","Tie"
"rock","11893325","rock","3616345","Tie"
"rock","6463259","rock","631946","Tie"
"rock","5286629","rock","607451","Tie"
"rock","5267640","rock","642140","Tie"
"rock","5315880","rock","715613","Tie"
"rock","5281549","rock","577128","Tie"
"rock","5322569","rock","616645","Tie"
"rock","4017454","rock","624384","Tie"
"rock","6248569","rock","587755","Tie"
"rock","5497909","rock","581586","Tie"
"rock","5234026","rock","589843","Tie"
"rock","5404704","rock","599136","Tie"
"rock","5117224","rock","580815","Tie"
"rock","5179402","rock","674244","Tie"
"rock","5280554","rock","622074","Tie"
"rock","5290562","rock","614847","Tie"
"rock","5295458","rock","660721","Tie"
"rock","11003038","rock","3149812","Tie"
"rock","6304496","rock","592335","Tie"
"rock","4674952","rock","600483","Tie"
"rock","4246685","rock","738307","Tie"
"rock","9708673","rock","2204131","Tie"
"rock","9580788","rock","1694116","Tie"
"rock","13002649","rock","1783059","Tie"
"rock","14558153","rock","4885886","Tie"
"rock","7226438","rock","1722017","Tie"
"rock","4599332","rock","605361","Tie"
"rock","7042191","rock","583513","Tie"
"rock","9371162","rock","701614","Tie"
"rock","7005844","rock","3102737","Tie"
"rock","5357411","rock","608903","Tie"
"rock","5222185","rock","604544","Tie"
"rock","5300030","rock","674084","Tie"
"rock","4031713","rock","602686","Tie"
"rock","4769098","rock","688387","Tie"
"rock","7003969","rock","648496","Tie"
"rock","5293701","rock","598946","Tie"
"rock","5297323","rock","597170","Tie"
"rock","5264284","rock","613214","Tie"
"rock","5324483","rock","1627265","Tie"
"rock","5241272","rock","680443","Tie"
"rock","5338879","rock","615326","Tie"
"rock","5284856","rock","1236697","Tie"
"rock","5250863","rock","740656","Tie"
"rock","4061629","rock","584300","Tie"
"rock","5885632","rock","656479","Tie"
"rock","3872242","rock","657651","Tie"
"rock","6753522","rock","621180","Tie"
"rock","5277563","rock","622204","Tie"
"rock","5502578","rock","599969","Tie"
"rock","5199335","rock","617505","Tie"
"rock","5502816","rock","601677","Tie"
"rock","5251614","rock","651008","Tie"
"rock","5335678","rock","610283","Tie"
"rock","5255495","rock","628985","Tie"
"rock","5259936","rock","712321","Tie"
"rock","4381508","rock","576208","Tie"
"rock","6194669","rock","568764","Tie"
"rock","10949346","rock","4668905","Tie"
"rock","3609216","rock","701607","Tie"
"rock","5262621","rock","630101","Tie"
"rock","5273694","rock","686004","Tie"
"rock","4591426","rock","578126","Tie"
"rock","5974864","rock","607116","Tie"
"rock","5326705","rock","848399","Tie"
"rock","5263888","rock","586746","Tie"
"rock","5644424","rock","625251","Tie"
"rock","5107242","rock","566501","Tie"
"rock","5349864","rock","577063","Tie"
"rock","4430989","rock","587595","Tie"
"rock","5322866","rock","597384","Tie"
"rock","6197065","rock","599819","Tie"
"rock","5302610","rock","615746","Tie"
"rock","5333616","rock","625221","Tie"
"rock","6621032","rock","595287","Tie"
"rock","9458291","rock","2024549","Tie"
"rock","6615793","rock","833360","Tie"
"rock","5263700","rock","583408","Tie"
"rock","5349055","rock","597017","Tie"
"rock","5240003","rock","694683","Tie"
"rock","5371736","rock","577315","Tie"
"rock","5156639","rock","628146","Tie"
"rock","3755334","rock","689169","Tie"
"rock","6688415","rock","603473","Tie"
"rock","5286505","rock","622125","Tie"
"rock","5344716","rock","594382","Tie"
"rock","3040050","rock","601511","Tie"
"rock","3561035","rock","630460","Tie"
"rock","5361032","rock","599656","Tie"
"rock","5168565","rock","655166","Tie"
"rock","3261982","rock","613527","Tie"
"rock","3370501","rock","573046","Tie"
"rock","5546306","rock","567240","Tie"
"rock","5306224","rock","582602","Tie"
"rock","5392445","rock","611223","Tie"
"rock","10175342","rock","727242","Tie"
"rock","4244157","rock","585147","Tie"
"rock","5304104","rock","590858","Tie"
"rock","5371126","rock","562156","Tie"
"rock","5551866","rock","581166","Tie"
"rock","5064025","rock","597643","Tie"
"rock","5280264","rock","604538","Tie"
"rock","6900608","rock","693502","Tie"
"rock","3646563","rock","601615","Tie"
"rock","5215035","rock","597628","Tie"
"rock","3591745","rock","666547","Tie"
"rock","12781831","rock","700174","Tie"
"rock","6515709","rock","642049","Tie"
"rock","5300212","rock","618285","Tie"
"rock","5303704","rock","595882","Tie"
"rock","5277809","rock","592442","Tie"
"rock","5392581","rock","620925","Tie"
"rock","5144304","rock","598689","Tie"
"rock","5340009","rock","844011","Tie"
"rock","7144462","rock","604868","Tie"
"rock","7268138","rock","601335","Tie"
"rock","4373665","rock","644919","Tie"
"rock","6028417","rock","629084","Tie"
"rock","5125133","rock","597135","Tie"
"rock","5344717","rock","605366","Tie"
"rock","5239677","rock","598444","Tie"
"rock","5520426","rock","612168","Tie"
"rock","5250582","rock","596445","Tie"
"rock","4024651","rock","592712","Tie"
"rock","7929006","rock","631631","Tie"
"rock","8020707","rock","619458","Tie"
"rock","5663438","rock","602838","Tie"
"rock","4810865","rock","693949","Tie"
"rock","5300958","rock","595568","Tie"
"rock","4175599","rock","601759","Tie"
"rock","6404175","rock","626395","Tie"
"rock","3888778","rock","594011","Tie"
"rock","8936823","rock","1369919","Tie"
"rock","6710129","rock","621267","Tie"
"rock","5286055","rock","598882","Tie"
"rock","4417147","rock","593953","Tie"
"rock","12161215","rock","714349","Tie"
"rock","6288640","rock","641793","Tie"
"rock","5297715","rock","584862","Tie"
"rock","5298762","rock","590061","Tie"
"rock","5299585","rock","564480","Tie"
"rock","5278710","rock","607565","Tie"
"rock","5215242","rock","594410","Tie"
"rock","5269911","rock","653588","Tie"
"rock","5303240","rock","597021","Tie"
"rock","5294902","rock","614420","Tie"
"rock","5300670","rock","595494","Tie"
"rock","4759321","rock","586032","Tie"
"rock","5870231","rock","644267","Tie"
"rock","5298942","rock","631003","Tie"
"rock","5227022","rock","603521","Tie"
"rock","5325667","rock","605634","Tie"
"rock","5496035","rock","596335","Tie"
"rock","5321594","rock","2364621","Tie"
"rock","4102026","rock","1114911","Tie"
"rock","3003105","rock","649404","Tie"
"rock","6207869","rock","590500","Tie"
"rock","2938885","rock","589413","Tie"
"rock","3817549","rock","582403","Tie"
"rock","5378554","rock","544584","Tie"
"rock","5541048","rock","563290","Tie"
"rock","5492344","rock","575052","Tie"
"rock","3640700","rock","637833","Tie"
"rock","6859748","rock","685982","Tie"
"rock","5339248","rock","576955","Tie"
"rock","5321250","rock","544878","Tie"
"rock","5266956","rock","548887","Tie"
"rock","7711340","rock","765919","Tie"
"rock","8620619","rock","644544","Tie"
"rock","7179167","rock","568059","Tie"
"rock","5524333","rock","705880","Tie"
"rock","5276114","rock","545737","Tie"
"rock","5311943","rock","579593","Tie"
"rock","5305850","rock","574256","Tie"
"rock","6697031","rock","622316","Tie"
"rock","3828053","rock","576710","Tie"
"rock","5307432","rock","581344","Tie"
"rock","4498519","rock","600412","Tie"
"rock","6162065","rock","569060","Tie"
"rock","5139438","rock","580837","Tie"
"rock","5393246","rock","1005285","Tie"
"rock","3574255","rock","616055","Tie"
"rock","6962308","rock","576250","Tie"
"rock","5306724","rock","577473","Tie"
"rock","5334813","rock","579317","Tie"
"rock","5444945","rock","579620","Tie"
"rock","4535935","rock","648771","Tie"
"rock","6010599","rock","591270","Tie"
"rock","4714234","rock","603521","Tie"
"rock","5858041","rock","579602","Tie"
"rock","5312433","rock","578895","Tie"
"rock","5336775","rock","589261","Tie"
"rock","5376809","rock","599716","Tie"
"rock","5269522","rock","580674","Tie"
"rock","5313212","rock","635404","Tie"
"rock","5352992","rock","693764","Tie"
"rock","5540740","rock","555285","Tie"
"rock","5272438","rock","583948","Tie"
"rock","5214833","rock","1591372","Tie"
"rock","5389549","rock","558647","Tie"
"rock","5516165","rock","572518","Tie"
"rock","5230154","rock","579214","Tie"
