"pinky","hummingbird","Clients TIE!"
"1","3","996"
"scissors","8214388","scissors","1916444","Tie"
"scissors","9819613","scissors","1582432","Tie"
"scissors","8586942","scissors","8574053","Tie"
"scissors","9745035","scissors","1782312","Tie"
"scissors","9151939","scissors","5085705","Tie"
"scissors","9529692","scissors","5218219","Tie"
"scissors","12766606","scissors","4720289","Tie"
"scissors","6700900","scissors","2388571","Tie"
"scissors","9508721","scissors","5265046","Tie"
"scissors","11325027","scissors","4943827","Tie"
"scissors","10794324","scissors","2795642","Tie"
"scissors","8650741","scissors","1757708","Tie"
"scissors","9535618","scissors","2322545","Tie"
"scissors","9920257","scissors","1776223","Tie"
"scissors","9051196","scissors","4993276","Tie"
"scissors","6632525","scissors","4903114","Tie"
"scissors","8141339","scissors","5056612","Tie"
"scissors","9283278","scissors","2035905","Tie"
"scissors","9913198","scissors","1800782","Tie"
"scissors","5480051","scissors","4327426","Tie"
"scissors","9704026","scissors","1684631","Tie"
"scissors","8555864","scissors","4926980","Tie"
"scissors","9244107","scissors","1579600","Tie"
"scissors","9871665","scissors","1560688","Tie"
"scissors","10320091","scissors","4872271","Tie"
"scissors","9622673","scissors","1569411","Tie"
"scissors","11174512","scissors","3457007","Tie"
"scissors","11322482","scissors","1565189","Tie"
"scissors","11342889","scissors","3373472","Tie"
"scissors","11891366","scissors","3828420","Tie"
"scissors","12051336","scissors","1620688","Tie"
"scissors","10489915","scissors","2228665","Tie"
"scissors","7313705","scissors","4365003","Tie"
"scissors","8775220","scissors","1928353","Tie"
"scissors","10297806","scissors","2284681","Tie"
"scissors","11932627","scissors","3090509","Tie"
"scissors","10060681","scissors","1786827","Tie"
"scissors","12907053","scissors","4865823","Tie"
"scissors","9166848","scissors","5121977","Tie"
"scissors","8913452","scissors","4798953","Tie"
"scissors","9323120","scissors","9310167","Tie"
"scissors","9101893","scissors","5202724","Tie"
"scissors","8739670","scissors","8727012","Tie"
"scissors","13715832","scissors","1493099","Tie"
"scissors","11041126","scissors","3319573","Tie"
"scissors","9072588","scissors","2298267","Tie"
"scissors","8875318","scissors","8862448","Tie"
"scissors","12395110","scissors","4355201","Tie"
"scissors","9930132","scissors","1899757","Tie"
"scissors","6738452","scissors","5112251","Tie"
"scissors","10235967","scissors","2326517","Tie"
"scissors","9091775","scissors","5072638","Tie"
"scissors","9220502","scissors","5172259","Tie"
"scissors","9413061","scissors","5249285","Tie"
"scissors","13821528","scissors","1707791","Tie"
"scissors","7030347","scissors","2775229","Tie"
"scissors","12469015","scissors","3063581","Tie"
"scissors","11881433","scissors","3796278","Tie"
"scissors","9706248","scissors","5044839","Tie"
"scissors","6740235","scissors","4469871","Tie"
"scissors","8340790","scissors","1655284","Tie"
"scissors","14275169","scissors","1880312","Tie"
"scissors","9275177","scissors","1746296","Tie"
"scissors","12934729","scissors","1556678","Tie"
"scissors","9579835","scissors","1569535","Tie"
"scissors","9759733","scissors","1740194","Tie"
"scissors","8628081","scissors","2558295","Tie"
"scissors","9286072","scissors","9251275","Tie"
"scissors","9189823","scissors","5170119","Tie"
"scissors","9249737","scissors","5201929","Tie"
"scissors","9392260","scissors","5482611","Tie"
"scissors","13258384","scissors","2819443","Tie"
"scissors","9134071","scissors","2541751","Tie"
"scissors","8848412","scissors","4733754","Tie"
"scissors","9183046","scissors","5146543","Tie"
"scissors","6923575","scissors","6912997","Tie"
"scissors","11324687","scissors","2042280","Tie"
"scissors","10005299","scissors","1782609","Tie"
"scissors","10953574","scissors","4963895","Tie"
"scissors","9811081","scissors","1778153","Tie"
"scissors","6137328","scissors","4424249","Tie"
"scissors","9148148","scissors","5140720","Tie"
"scissors","9036447","scissors","5003320","Tie"
"scissors","16853107","scissors","4633219","Tie"
"scissors","9851053","scissors","1622816","Tie"
"scissors","8852713","scissors","2611141","Tie"
"scissors","13722770","scissors","1865004","Tie"
"scissors","6964958","scissors","1759837","Tie"
"scissors","13042037","scissors","13031615","Tie"
"scissors","7423492","scissors","1617540","Tie"
"scissors","7706703","scissors","1784501","Tie"
"scissors","9035219","scissors","4950598","Tie"
"scissors","9099054","scissors","2352686","Tie"
"scissors","10456114","scissors","3010200","Tie"
"scissors","10106824","scissors","1860575","Tie"
"scissors","8838325","scissors","4789204","Tie"
"scissors","9153987","scissors","5105936","Tie"
"scissors","6452029","scissors","4637647","Tie"
"scissors","8812015","scissors","8801054","Tie"
"scissors","5620686","scissors","1471319","Tie"
"scissors","9816332","scissors","1885759","Tie"
"scissors","9402547","scissors","5213117","Tie"
"scissors","11115987","scissors","4978621","Tie"
"scissors","9791631","scissors","1815743","Tie"
"scissors","6085030","scissors","4314704","Tie"
"scissors","9171610","scissors","2005681","Tie"
"scissors","9128637","scissors","5084663","Tie"
"scissors","9248320","scissors","5198018","Tie"
"scissors","9366822","scissors","5216452","Tie"
"scissors","9014573","scissors","5783613","Tie"
"scissors","10121130","scissors","2096668","Tie"
"scissors","6870683","scissors","5037174","Tie"
"scissors","8548938","scissors","8537624","Tie"
"scissors","13641576","scissors","13631285","Tie"
"scissors","13028792","scissors","2957090","Tie"
"scissors","9819649","scissors","1852696","Tie"
"scissors","9615653","scissors","5368705","Tie"
"scissors","12842816","scissors","4783425","Tie"
"scissors","7534511","scissors","5152909","Tie"
"scissors","9576138","scissors","3645643","Tie"
"scissors","11849550","scissors","4961443","Tie"
"scissors","10359170","scissors","2225655","Tie"
"scissors","8931737","scissors","5003643","Tie"
"scissors","10128019","scissors","2075568","Tie"
"scissors","9466204","scissors","1452882","Tie"
"scissors","9216510","scissors","5170553","Tie"
"scissors","9482395","scissors","5218957","Tie"
"scissors","8850027","scissors","2594616","Tie"
"scissors","9726914","scissors","1590426","Tie"
"scissors","9454069","scissors","9442837","Tie"
"scissors","8861762","scissors","8850930","Tie"
"scissors","6893494","scissors","1542183","Tie"
"scissors","9544982","scissors","1524448","Tie"
"scissors","15631459","scissors","4566947","Tie"
"scissors","13939648","scissors","1912542","Tie"
"scissors","9083209","scissors","5154044","Tie"
"scissors","8028691","scissors","4873966","Tie"
"scissors","13098069","scissors","1624937","Tie"
"scissors","9884898","scissors","1615142","Tie"
"scissors","7685952","scissors","4872039","Tie"
"scissors","11519193","scissors","4852168","Tie"
"scissors","9177129","scissors","5131959","Tie"
"scissors","9098827","scissors","9087375","Tie"
"scissors","9730576","scissors","1580534","Tie"
