"Avalanch","AssClown","The winner is AssClown"
"2","997","1"
"rock","3757278","paper","4157313","AssClown won"
"rock","4923325","paper","4692312","AssClown won"
"rock","4637991","paper","5048262","AssClown won"
"rock","4752852","paper","5148602","AssClown won"
"rock","4936805","paper","4696670","AssClown won"
"rock","5028887","paper","4669751","AssClown won"
"rock","6842264","paper","6892396","AssClown won"
"rock","8107906","paper","8641566","AssClown won"
"rock","3443745","paper","3851693","AssClown won"
"rock","8648890","paper","9081549","AssClown won"
"rock","4565434","paper","4960258","AssClown won"
"rock","6441911","paper","6494465","AssClown won"
"rock","2953042","paper","7071426","AssClown won"
"rock","4949991","paper","5341219","AssClown won"
"rock","16765122","paper","17200129","AssClown won"
"rock","17421890","paper","17485307","AssClown won"
"rock","11883087","paper","12323221","AssClown won"
"rock","9178441","paper","9620604","AssClown won"
"rock","8317502","paper","8755570","AssClown won"
"rock","7445048","paper","7901778","AssClown won"
"rock","6129664","paper","5899115","AssClown won"
"rock","8908421","paper","8865701","AssClown won"
"rock","5119138","paper","5159282","AssClown won"
"rock","4679572","paper","5082753","AssClown won"
"rock","3289398","paper","3054445","AssClown won"
"rock","6418527","paper","6813563","AssClown won"
"rock","5250610","paper","5209993","AssClown won"
"rock","4721857","paper","5197136","AssClown won"
"rock","4611746","paper","5009936","AssClown won"
"rock","4954408","paper","4716887","AssClown won"
"rock","4728339","paper","5136393","AssClown won"
"rock","4677505","paper","5078009","AssClown won"
"rock","4893600","paper","4666690","AssClown won"
"rock","4764671","paper","5162051","AssClown won"
"rock","4707993","paper","5106147","AssClown won"
"rock","4685089","paper","5102685","AssClown won"
"rock","4713491","paper","8661652","AssClown won"
"rock","7447213","paper","7435839","AssClown won"
"rock","6053134","paper","6094268","AssClown won"
"rock","4861064","paper","4627704","AssClown won"
"rock","4762922","paper","5146272","AssClown won"
"rock","4848718","paper","5271103","AssClown won"
"rock","4060378","paper","4101559","AssClown won"
"rock","5727880","paper","6146287","AssClown won"
"rock","4719117","paper","5111562","AssClown won"
"rock","4678703","paper","5063807","AssClown won"
"rock","5159389","paper","5117709","AssClown won"
"rock","4770941","paper","5163058","AssClown won"
"rock","4727993","paper","5120521","AssClown won"
"rock","4742022","paper","5131824","AssClown won"
"rock","5199799","paper","5159332","AssClown won"
"rock","9028422","paper","9281396","AssClown won"
"rock","3540233","paper","3925391","AssClown won"
"rock","4729345","paper","5119558","AssClown won"
"rock","4742427","paper","5130428","AssClown won"
"rock","4901984","paper","4671826","AssClown won"
"rock","4844405","paper","6473940","AssClown won"
"rock","4476848","paper","5037025","AssClown won"
"rock","3649535","paper","4035546","AssClown won"
"rock","4755229","paper","5165640","AssClown won"
"rock","4633482","paper","5020520","AssClown won"
"rock","4567582","paper","4956954","AssClown won"
"rock","4802831","paper","5202803","AssClown won"
"rock","4871649","paper","4641292","AssClown won"
"rock","4805643","paper","5198416","AssClown won"
"rock","4729486","paper","5403958","AssClown won"
"rock","4429118","paper","4826477","AssClown won"
"rock","5064498","paper","4871538","AssClown won"
"rock","4571302","paper","4959067","AssClown won"
"rock","4614731","paper","5004869","AssClown won"
"rock","4736965","paper","5129064","AssClown won"
"rock","4780863","paper","4969175","AssClown won"
"rock","8826229","paper","9245941","AssClown won"
"rock","4976945","paper","4624457","AssClown won"
"rock","4857076","paper","4632390","AssClown won"
"rock","4911032","paper","4679820","AssClown won"
"rock","4798564","paper","5194291","AssClown won"
"rock","4725044","paper","5108419","AssClown won"
"rock","4742105","paper","5127167","AssClown won"
"rock","4759631","paper","5240991","AssClown won"
"rock","4609238","paper","4999735","AssClown won"
"rock","4723748","paper","5114382","AssClown won"
"rock","7373006","paper","7616305","AssClown won"
"rock","5856835","paper","6240571","AssClown won"
"rock","4743734","paper","5134054","AssClown won"
"rock","4726474","paper","5222613","AssClown won"
"rock","4604104","paper","4993241","AssClown won"
"rock","4737198","paper","5128020","AssClown won"
"rock","4699283","paper","5091368","AssClown won"
"rock","5226344","paper","5184009","AssClown won"
"rock","4775684","paper","5166572","AssClown won"
"rock","5280682","paper","5321853","AssClown won"
"rock","4833053","paper","5232934","AssClown won"
"rock","4602030","paper","4998700","AssClown won"
"rock","4704862","paper","5088751","AssClown won"
"rock","4731928","paper","5118876","AssClown won"
"rock","3656580","paper","4054350","AssClown won"
"rock","6298779","paper","6343226","AssClown won"
"rock","4727086","paper","5123756","AssClown won"
"rock","4723039","paper","5116704","AssClown won"
"rock","4851868","paper","4622490","AssClown won"
"rock","4795929","paper","5186718","AssClown won"
"rock","4728732","paper","5136832","AssClown won"
"rock","4646401","paper","5056500","AssClown won"
"rock","4710185","paper","5238705","AssClown won"
"rock","4772050","paper","4539019","AssClown won"
"rock","4113755","paper","5937558","AssClown won"
"rock","8727228","paper","9260196","AssClown won"
"rock","3231876","paper","3628448","AssClown won"
"rock","4734271","paper","5125649","AssClown won"
"rock","4715352","paper","5224307","AssClown won"
"rock","4714417","paper","5108601","AssClown won"
"rock","3209760","paper","9014720","AssClown won"
"rock","3327209","paper","3717939","AssClown won"
"rock","5032164","paper","4788368","AssClown won"
"rock","4871799","paper","4640827","AssClown won"
"rock","4897891","paper","5087488","AssClown won"
"rock","4742426","paper","5134025","AssClown won"
"rock","5235636","paper","5277852","AssClown won"
"rock","5263806","paper","5304925","AssClown won"
"rock","5141863","paper","5099847","AssClown won"
"rock","4845141","paper","5233934","AssClown won"
"rock","4879313","paper","4645512","AssClown won"
"rock","4797044","paper","5191502","AssClown won"
"rock","4931768","paper","4699408","AssClown won"
"rock","4796551","paper","5189437","AssClown won"
"rock","4927263","paper","4691660","AssClown won"
"rock","4847907","paper","5231117","AssClown won"
"rock","4947857","paper","4704715","AssClown won"
"rock","4544771","paper","4929554","AssClown won"
"rock","5173660","paper","5215506","AssClown won"
"rock","4776760","paper","5171970","AssClown won"
"rock","4610109","paper","4338775","AssClown won"
"rock","5050860","paper","5435317","AssClown won"
"rock","4763242","paper","5149556","AssClown won"
"rock","4723750","paper","5106886","AssClown won"
"rock","4981591","paper","4750393","AssClown won"
"rock","4765594","paper","5147506","AssClown won"
"rock","4743741","paper","5136713","AssClown won"
"rock","4728333","paper","5125278","AssClown won"
"rock","4703168","paper","5092433","AssClown won"
"rock","4947936","paper","4717885","AssClown won"
"rock","3211183","paper","4948840","AssClown won"
"rock","11189651","paper","11089852","AssClown won"
"rock","4549071","paper","4958648","AssClown won"
"rock","4858077","paper","4633309","AssClown won"
"rock","4817176","paper","5207275","AssClown won"
"rock","4727746","paper","5117577","AssClown won"
"rock","4764239","paper","5152817","AssClown won"
"rock","4717476","paper","5102192","AssClown won"
"rock","4720169","paper","5100544","AssClown won"
"rock","4502517","paper","4891623","AssClown won"
"rock","4717509","paper","5112951","AssClown won"
"rock","4904336","paper","4673141","AssClown won"
"rock","3527455","paper","3916034","AssClown won"
"rock","5995300","paper","6393238","AssClown won"
"rock","6802553","paper","6851465","AssClown won"
"rock","4546159","paper","7510869","AssClown won"
"rock","5399220","paper","5441376","AssClown won"
"rock","4718358","paper","5104403","AssClown won"
"rock","4219764","paper","4633286","AssClown won"
"rock","5259463","paper","5657126","AssClown won"
"rock","4612779","paper","5002933","AssClown won"
"rock","4627267","paper","5017363","AssClown won"
"rock","4735498","paper","5128637","AssClown won"
"rock","5255449","paper","5313003","AssClown won"
"rock","4689379","paper","5084038","AssClown won"
"rock","4713357","paper","5102703","AssClown won"
"rock","5289801","paper","5331183","AssClown won"
"rock","4656828","paper","5055115","AssClown won"
"rock","5066942","paper","4809970","AssClown won"
"rock","3750913","paper","4143089","AssClown won"
"rock","5560487","paper","5950610","AssClown won"
"rock","5330891","paper","5375972","AssClown won"
"rock","5886834","paper","5564516","AssClown won"
"rock","4291963","paper","4333580","AssClown won"
"rock","4716032","paper","5110142","AssClown won"
"rock","5264044","paper","5303974","AssClown won"
"rock","4911817","paper","4683335","AssClown won"
"rock","4983465","paper","4756424","AssClown won"
"rock","5442971","paper","5399201","AssClown won"
"rock","4931981","paper","4691929","AssClown won"
"rock","3010514","paper","8830725","AssClown won"
"rock","5008541","paper","5395917","AssClown won"
"rock","5272349","paper","5312751","AssClown won"
"rock","4724449","paper","5116084","AssClown won"
"rock","4741419","paper","5132855","AssClown won"
"rock","4746148","paper","5152861","AssClown won"
"rock","3324076","paper","3082737","AssClown won"
"rock","6342765","paper","6733705","AssClown won"
"rock","4903702","paper","4675734","AssClown won"
"rock","4789093","paper","5253090","AssClown won"
"rock","4601327","paper","4995173","AssClown won"
"rock","4909442","paper","4679126","AssClown won"
