"palindrome_pelican","hummingbird","Clients TIE!"
"1","0","999"
"paper","1693379","paper","1684405","Tie"
"paper","1728944","paper","1720274","Tie"
"paper","3490977","paper","3481638","Tie"
"paper","3672715","paper","3663669","Tie"
"paper","1545798","paper","1536192","Tie"
"paper","1765009","paper","1756006","Tie"
"paper","1446856","paper","1437647","Tie"
"paper","1655167","paper","1646188","Tie"
"paper","1688470","paper","1679619","Tie"
"paper","1570090","paper","1561045","Tie"
"paper","1678030","paper","1668951","Tie"
"paper","1711864","paper","1702810","Tie"
"paper","3581519","paper","3572381","Tie"
"paper","388496","paper","1547463","Tie"
"paper","246925","paper","413867","Tie"
"paper","247606","paper","419145","Tie"
"paper","210488","paper","398667","Tie"
"paper","179642","paper","331509","Tie"
"paper","360881","paper","539637","Tie"
"paper","316112","paper","523276","Tie"
"paper","185896","paper","343325","Tie"
"paper","209864","paper","366692","Tie"
"paper","198604","paper","356169","Tie"
"paper","226258","paper","388694","Tie"
"paper","269646","paper","436236","Tie"
"paper","184356","paper","340482","Tie"
"paper","212044","paper","372082","Tie"
"paper","224270","paper","415793","Tie"
"paper","267607","paper","433679","Tie"
"paper","229093","paper","389403","Tie"
"paper","320891","paper","489015","Tie"
"paper","183590","paper","337452","Tie"
"paper","219178","paper","379797","Tie"
"paper","240751","paper","403374","Tie"
"paper","212836","paper","371479","Tie"
"paper","207014","paper","365672","Tie"
"paper","197605","paper","354837","Tie"
"paper","389045","paper","572562","Tie"
"paper","395564","paper","574788","Tie"
"paper","199228","paper","374811","Tie"
"paper","267003","paper","439470","Tie"
"paper","227617","paper","389948","Tie"
"paper","341441","paper","541518","Tie"
"paper","566563","paper","797896","Tie"
"paper","4865860","paper","4856553","Tie"
"paper","2603319","paper","2593634","Tie"
"paper","1566366","paper","1557300","Tie"
"paper","1642758","paper","1633454","Tie"
"paper","1735994","paper","1727045","Tie"
"paper","1697281","paper","1688591","Tie"
"paper","1734965","paper","1725887","Tie"
"paper","1901661","paper","1892651","Tie"
"paper","3562260","paper","3553059","Tie"
"paper","2211095","paper","2202266","Tie"
"paper","1699760","paper","1690681","Tie"
"paper","1699732","paper","1690245","Tie"
"paper","1672504","paper","1663358","Tie"
